Commentaire,star,date,client,reponse,source,company,ville,maj,date_commande,ecart,clean_comment,comment_id,qualité produit,service livraison,service client
"Bonjour , Ca doit faire 5 ans environ que je suis membre showrooprive . Je n ’ ai jamais eu de soucis en particulier à part 2/3 petites bricoles…Par contre depuis ces 3 derniers mois , une vraie catastrophe ! J ’ ai eu 3 commandes annulées d ’ affiliés… à se demander si les ventes sont bien réelles histoires de nous faire payer et que showroom « joue » avec notre argent en se faisant des intérêts bancaires sur notre dos ! ! ! ! La 1 ère commande « machines et cafés » 89,99€… annulé 1 mois après …La 2e commande « don ’ t call me Jennifer » 65,16€… annulé 1 mois après …La 3e commande « techwood » 46,29€… annulé 1 mois après….Je l ’ apprends toujours par mail…le même message « bateau » « malgré tous les efforts… .. bla-bla-bla Bien évidemment , pas de dédommagement ! ! ! ! Ben . Non , hein , pourquoi faire ? ! ? ! Je doute que ce site soit aussi fiable et sérieux qu ’ au début ! Au final je vais juste rester fidèle sur n autre site marchand ! ! ! ! ! Très décevant … plus du tout confiance Je ne recommande plus du tout ce site et j ’ en fais part à mon entourage et réseaux sociaux ! ! Afin d ’ éviter que d ’ autres personnes connaissent ce même type d ’ expérience ! !",1,2021-06-20 00:00:00+00:00,AUDREY Du 62,,TrustPilot,ShowRoom,,,,,"bonjour , ca doit faire 5 ans environ que je suis membre showrooprive . je n ’ ai jamais eu de soucis en particulier à part 2/3 petites bricoles…par contre depuis ces 3 derniers mois , une vraie catastrophe ! j ’ ai eu 3 commandes annulées d ’ affiliés… à se demander si les ventes sont bien réelles histoires de nous faire payer et que showroom « joue » avec notre argent en se faisant des intérêts bancaires sur notre dos ! ! ! ! la 1 ère commande « machines et cafés » 89,99€… annulé 1 mois après …la 2e commande « don ’ t call me jennifer » 65,16€… annulé 1 mois après …la 3e commande « techwood » 46,29€… annulé 1 mois après….je l ’ apprends toujours par mail…le même message « bateau » « malgré tous les efforts… .. bla-bla-bla bien évidemment , pas de dédommagement ! ! ! ! ben . non , hein , pourquoi faire ? ! ? ! je doute que ce site soit aussi fiable et sérieux qu ’ au début ! au final je vais juste rester fidèle sur n autre site marchand ! ! ! ! ! très décevant … plus du tout confiance je ne recommande plus du tout ce site et j ’ en fais part à mon entourage et réseaux sociaux ! ! afin d ’ éviter que d ’ autres personnes connaissent ce même type d ’ expérience ! !",0,0,0,1
Vente lacoste article manquant photo prise sur 6 articles la moitié livrée sans explication manque de respect.Numero de commande 230130353,1,2021-06-20 00:00:00+00:00,Nanasky De Verteuil,,TrustPilot,ShowRoom,,,,,vente lacoste article manquant photo prise sur 6 articles la moitié livrée sans explication manque de respect.numero de commande 230130353,1,0,1,0
"Vente Lacoste Honteuse , article erroné , article manquant , pas de bon de livraison , retard et service client désastreux.Après deux appels désastreux , je tenais à avertir les plus courageux qui oseront commander et contacter ce service client . Showroom fait dans le pire du pire . Attentions aux oreilles , votre interlocuteur vous parle dans environnement très bruyant de type chantier , coup de marteaux et jet de matériaux à proximité du micro . Vous demandez de faire cesser la nuisance , on vous répond que non car ils vous entendent très bien . Erreur sur votre commande , l ’ interlocuteur ne vous crois pas , il faut envoyer les captures d ’ écran de sa commande pour les convaincre qu ’ ils font bien n ’ importe quoi.La commande arrive en plusieurs fois pour une même vente , retard , article manquant et pas de bon livraison pour comprendre quoi que ce soit , on ne sait rien et il est impossible d ’ obtenir le suivi de livraison et les détails pour les articles manquants.Un article annulé par Showroom car n ’ était plus en stock mais toujours proposé à la vente . ( Commande n°230077467 et Commande n•230077467 ) Ca fait beaucoup d ’ un coup , c ’ est inadmissible.Fuyez !",1,2021-06-19 00:00:00+00:00,Vanessa L,,TrustPilot,ShowRoom,,,,,"vente lacoste honteuse , article erroné , article manquant , pas de bon de livraison , retard et service client désastreux.après deux appels désastreux , je tenais à avertir les plus courageux qui oseront commander et contacter ce service client . showroom fait dans le pire du pire . attentions aux oreilles , votre interlocuteur vous parle dans environnement très bruyant de type chantier , coup de marteaux et jet de matériaux à proximité du micro . vous demandez de faire cesser la nuisance , on vous répond que non car ils vous entendent très bien . erreur sur votre commande , l ’ interlocuteur ne vous crois pas , il faut envoyer les captures d ’ écran de sa commande pour les convaincre qu ’ ils font bien n ’ importe quoi.la commande arrive en plusieurs fois pour une même vente , retard , article manquant et pas de bon livraison pour comprendre quoi que ce soit , on ne sait rien et il est impossible d ’ obtenir le suivi de livraison et les détails pour les articles manquants.un article annulé par showroom car n ’ était plus en stock mais toujours proposé à la vente . ( commande n°230077467 et commande n•230077467 ) ca fait beaucoup d ’ un coup , c ’ est inadmissible.fuyez !",2,0,1,1
Commande téléphone etat A+ . Livraison d un vieux téléphone pourri sans batterie rayé partout et inaudible ! ! ! super l affaire 300 euros a la poubelle MERCI showroomprivee ! ! ! Passez votre chemin ils sont nuls et ne contrôlent même pas ce qu ils proposent a la vente .,1,2021-06-19 00:00:00+00:00,JULIE DRINGENBERG,"Bonjour Julie , Je suis sincèrement désolé de lire votre ressenti suite à la réception de votre téléphone.Je vous présente mes excuses pour cette situation . Je vous informe avoir pris en charge votre réclamation et vous confirme que vous serez recontactée afin de faire suite à votre requête . Ayoub",TrustPilot,ShowRoom,,,,,commande téléphone etat a+ . livraison d un vieux téléphone pourri sans batterie rayé partout et inaudible ! ! ! super l affaire 300 euros a la poubelle merci showroomprivee ! ! ! passez votre chemin ils sont nuls et ne contrôlent même pas ce qu ils proposent a la vente .,4,1,1,0
"Commande passée pour une vente Lacoste , livraison 15 nous après la date prévue , déjà 6 semaines après l'achat , sur 3 produits , 2 manquants . Pas pro , pas sérieux , aucun geste commercial hormis le remboursement promis des 2 articles manquants .",1,2021-06-19 00:00:00+00:00,Cyril CARABOT,"Bonjour Cyril , Je fais suite à votre message dans lequel vous nous indique avoir votre commande incomplète.Je vous présente mes excuses pour ce désagrément . Il s'agit de la rupture de stock auprès de notre fournisseur dont nous vous faisions part dans notre mail du 18/06/21Je vous informe avoir pris en charge votre réclamation et vous confirme que vous serez recontactée aujourd'hui afin de faire suite à votre requête . Ayoub",TrustPilot,ShowRoom,,,,,"commande passée pour une vente lacoste , livraison 15 nous après la date prévue , déjà 6 semaines après l'achat , sur 3 produits , 2 manquants . pas pro , pas sérieux , aucun geste commercial hormis le remboursement promis des 2 articles manquants .",5,0,1,1
Annulation de commande après 2 mois d ’ attente dans un geste et sans explication . Retard de livraison et report à 3 reprise pour se résultat incompréhensible et inadmissible je recommande pas le site mieux vaut aller sur vente privée au mon d on attend mais on a sa commande,1,2021-06-18 00:00:00+00:00,aurore regnier,"Bonjour Aurore , Je suis sincèrement désolé d'apprendre l'annulation de votre commande.Je vous présente mes excuses pour ce désagrément . Après vérification , je constate que votre demande a été prise en charge et traitée par nos services en date du 19/06/21.Toute fois , je vous informe avoir remonté cette anomalie auprès de nos services afin d ' y remédier prochainement.Si besoin , je reste à votre disposition pour toute autre demande.Ayoub",TrustPilot,ShowRoom,,,,,annulation de commande après 2 mois d ’ attente dans un geste et sans explication . retard de livraison et report à 3 reprise pour se résultat incompréhensible et inadmissible je recommande pas le site mieux vaut aller sur vente privée au mon d on attend mais on a sa commande,6,0,1,1
"Extrêmement déçue de la vente Apple ! ! Achat d ’ un iPhone reconditionné grade A+ ( fournisseur PRS , phone recycle ) Il a fonctionné 15 jours ! ! ! SAV lamentable jusqu ’ a 6 jours pour répondre à une ’ question et pas de prise en charge des frais de retour pour réparation ... SAV Showroom qui lit les mails ’ en diagonale et répond à côté ! Lamentable ... téléphone pas encore récupéré , ce sera mon dernier achat ! !",1,2021-06-18 00:00:00+00:00,Paola Perez,"Bonjour Paola , Je fais suite à votre message au sujet de la prise en charge de votre réclamation portant sur votre iPhone reconditionné grade A+.Je regrette énormément cette situation et tiens à vous apporter mon aide.Je vous informe avoir relancé le service ayant prise en charge votre réclamation afin de vous apporter de plus amples détails sur ce sujet.Vous serez donc recontactée dans le plus bref délai.Si besoin , je reste à votre disposition pour toute autre demande.Ayoub",TrustPilot,ShowRoom,,,,,"extrêmement déçue de la vente apple ! ! achat d ’ un iphone reconditionné grade a+ ( fournisseur prs , phone recycle ) il a fonctionné 15 jours ! ! ! sav lamentable jusqu ’ a 6 jours pour répondre à une ’ question et pas de prise en charge des frais de retour pour réparation ... sav showroom qui lit les mails ’ en diagonale et répond à côté ! lamentable ... téléphone pas encore récupéré , ce sera mon dernier achat ! !",7,0,0,1
S'il y'avait une option : ne pas mettre d'étoile ( une étoile c'est trop ! ) je serais contente . J'ai passé une commande mi-avril et là nous sommes en mi-juin je ne l'ai toujours pas reçu ! Et quand je leur faire part de ça il ne me réponde pas ! J'ai commandé des articles de jennyfer via leur site . C'est marqué colis expédié via mondial relay mais depuis plus rien même pas un numéro de suivi !,1,2021-06-18 00:00:00+00:00,linda Ng,,TrustPilot,ShowRoom,,,,,s'il y'avait une option : ne pas mettre d'étoile ( une étoile c'est trop ! ) je serais contente . j'ai passé une commande mi-avril et là nous sommes en mi-juin je ne l'ai toujours pas reçu ! et quand je leur faire part de ça il ne me réponde pas ! j'ai commandé des articles de jennyfer via leur site . c'est marqué colis expédié via mondial relay mais depuis plus rien même pas un numéro de suivi !,9,0,1,0
"ARNAQUE J ’ ai acheté une combinaison blanche à 33€ au lieu de soit disant 100€ , que j ’ ai reçu + d ’ un mois après , avec des traces noires sur le bas de la combi et surtout elle était SUPER TRANSPARENTE ! Bref impossible à mettre même avec des sous vêtements couleur chair ! Grosse arnaque c ’ est inadmissible je vais la renvoyer avec 6,50€ De frais à mes charges ! En espérant être remboursée ! Je ne vous conseille pas du tout Showroom privé",1,2021-06-18 00:00:00+00:00,Sarah,,TrustPilot,ShowRoom,,,,,"arnaque j ’ ai acheté une combinaison blanche à 33€ au lieu de soit disant 100€ , que j ’ ai reçu + d ’ un mois après , avec des traces noires sur le bas de la combi et surtout elle était super transparente ! bref impossible à mettre même avec des sous vêtements couleur chair ! grosse arnaque c ’ est inadmissible je vais la renvoyer avec 6,50€ de frais à mes charges ! en espérant être remboursée ! je ne vous conseille pas du tout showroom privé",10,1,0,1
"Bonjour , Commande fait sur Showroom n° 233332467 avec un point relais défini . Cette commande a été déviée de son point d'origine de plus de 6Km par le bon vouloir du transporteur ? ? Réponse de Showroom n'allez pas le chercher et on vous remboursera ? ? Quelle est l'interré de commander d'attendre plus d'un mois pour le remboursement . Sur Amazon l'ecoute et le respect du client est leur priorité.Merci de prendre exemple",2,2021-06-18 00:00:00+00:00,Giovanni,,TrustPilot,ShowRoom,,,,,"bonjour , commande fait sur showroom n° 233332467 avec un point relais défini . cette commande a été déviée de son point d'origine de plus de 6km par le bon vouloir du transporteur ? ? réponse de showroom n'allez pas le chercher et on vous remboursera ? ? quelle est l'interré de commander d'attendre plus d'un mois pour le remboursement . sur amazon l'ecoute et le respect du client est leur priorité.merci de prendre exemple",11,0,1,1
"Pour commander il n ' y a pas de problème mais POUR LES RETOURS c'est très compliqué , l'article étant défectueux.Les conseillers n'écoutent pas et répétent toujours pareils . Je suis très déçue et hésiterais désormais à commander par ce site.Surtout que j'attends aussi ma commande LACOSTE , qui était prévue pour la fête des pères et qui est encore repoussée . Commande passée le 5 Mai 2021je trouve que c'est un peu exagéré comme délai .",2,2021-06-18 00:00:00+00:00,Mme dominique HERNANDEZ,,TrustPilot,ShowRoom,,,,,"pour commander il n ' y a pas de problème mais pour les retours c'est très compliqué , l'article étant défectueux.les conseillers n'écoutent pas et répétent toujours pareils . je suis très déçue et hésiterais désormais à commander par ce site.surtout que j'attends aussi ma commande lacoste , qui était prévue pour la fête des pères et qui est encore repoussée . commande passée le 5 mai 2021je trouve que c'est un peu exagéré comme délai .",12,1,0,0
"2 robes achetées sur showroom privées , une pour ma fille , une pour moi . Ma fille me dit qu'il y a un trou , donc je regarde du coup les deux robes : toutes les deux défectueuses ( trou au niveau de la couture de l'une , et une maille sortie dans l'autre ) . Je retourne donc le colis en prenant la peine de mettre des post it là où les robes sont abimées . Je renvoie le colis avec le retour gratuit . Plusieurs jours après , je reçois un mail de showroom me disant que mon remboursement a été effectué . SAUF QUE , ils m'ont enlevé 6.50€ de frais de retour ! ! ! ! ! Inadmissible , ce n'est pas a moi de payer pour leurs robes défectueuses . Et impossible de faire une réclamation sur le service client , depuis 24H , un message d'erreur m'empêche de la faire . Mais comme par hasard , quand je valide ma réclamation , ça ne marche pas ! Je ne lâche rien , je veux être remboursée et j'ai pris des photos .",1,2021-06-18 00:00:00+00:00,lavigne,,TrustPilot,ShowRoom,,,,,"2 robes achetées sur showroom privées , une pour ma fille , une pour moi . ma fille me dit qu'il y a un trou , donc je regarde du coup les deux robes : toutes les deux défectueuses ( trou au niveau de la couture de l'une , et une maille sortie dans l'autre ) . je retourne donc le colis en prenant la peine de mettre des post it là où les robes sont abimées . je renvoie le colis avec le retour gratuit . plusieurs jours après , je reçois un mail de showroom me disant que mon remboursement a été effectué . sauf que , ils m'ont enlevé 6.50€ de frais de retour ! ! ! ! ! inadmissible , ce n'est pas a moi de payer pour leurs robes défectueuses . et impossible de faire une réclamation sur le service client , depuis 24h , un message d'erreur m'empêche de la faire . mais comme par hasard , quand je valide ma réclamation , ça ne marche pas ! je ne lâche rien , je veux être remboursée et j'ai pris des photos .",13,1,1,1
"Ce sont des voleurs . Showroomprivé vend des Ipad reconditionnés en mauvais état . Ils rejettent la faute sur leurs fournisseurs mais vous laisse vous démerder avec eux . Soit disant ils doivent appeler mais j'attends toujours depuis janvier . Sara du service client ne comprends pas mon explication . Pour tout renseignement voici mon numéro 06 27 27 23 84 . Avec VEEPEE , il n ' y a pas de problèmes , ils sont sérieux .",1,2021-06-18 00:00:00+00:00,Laurent,,TrustPilot,ShowRoom,,,,,"ce sont des voleurs . showroomprivé vend des ipad reconditionnés en mauvais état . ils rejettent la faute sur leurs fournisseurs mais vous laisse vous démerder avec eux . soit disant ils doivent appeler mais j'attends toujours depuis janvier . sara du service client ne comprends pas mon explication . pour tout renseignement voici mon numéro 06 27 27 23 84 . avec veepee , il n ' y a pas de problèmes , ils sont sérieux .",14,0,1,1
Une bande d ’ incapable qui ne savent pas expédier des colis et quand vous avez le malheur de leur demander de vous le faire parvenir c ’ est pas possible on vous rembourse . Tout ça sans excuses ni geste commercial . La satisfaction client chez eux c ’ est pas une priorité .,1,2021-06-17 00:00:00+00:00,Marine V * * * * * * * *,,TrustPilot,ShowRoom,,,,,une bande d ’ incapable qui ne savent pas expédier des colis et quand vous avez le malheur de leur demander de vous le faire parvenir c ’ est pas possible on vous rembourse . tout ça sans excuses ni geste commercial . la satisfaction client chez eux c ’ est pas une priorité .,15,0,1,0
"Achete une pergola sur shorom vendu par SOURCIDYS A TOURS paye 37 € de frais de livraison .Il y avait 3 colis j en ai reçu 2 , il me manque le 3 ème qui contient les pieds .. Depuis le 10 juin pas de nouvelles , la société ne répond pas ... ni a moi ni a shorom .Du coup impossible de la monter paye 299 euros pour rien ..... site à banir.Shorom a de suite pris la réclamation en compte mais rien bouge .",2,2021-06-17 00:00:00+00:00,Sandrine Hanquiez,,TrustPilot,ShowRoom,,,,,"achete une pergola sur shorom vendu par sourcidys a tours paye 37 € de frais de livraison .il y avait 3 colis j en ai reçu 2 , il me manque le 3 ème qui contient les pieds .. depuis le 10 juin pas de nouvelles , la société ne répond pas ... ni a moi ni a shorom .du coup impossible de la monter paye 299 euros pour rien ..... site à banir.shorom a de suite pris la réclamation en compte mais rien bouge .",16,0,1,1
"mon colis est arriver abimé , meuble HANNAH HOME finition bas de gamme , très déçu.envie de renvoyer le colis , demande de retour demander le 2 juin 2021 et voila j'attend toujours l'étiquettes de retour service client par téléphone non efficace , ils sont la juste pour répondre aux appels , donc problème non résolue ce jour.je laisserais un avis favorable au retour de SHOWROOMPRIVE",1,2021-06-17 00:00:00+00:00,Isaev,"Bonjour , Je fais suite à votre avis dans lequel vous nous indiquez ne pas avoir reçu l'étiquette de retour de votre commande.Je vous présente mes excuses pour ce délai de traitement.Afin de vous apporter mon aide , pourriez-vous me communiquer votre numéro de commande en privée svp.Dans l'attente de votre retour , je reste à votre disposition pour tout complément d'information.Bien à vous , Ayoub",TrustPilot,ShowRoom,,,,,"mon colis est arriver abimé , meuble hannah home finition bas de gamme , très déçu.envie de renvoyer le colis , demande de retour demander le 2 juin 2021 et voila j'attend toujours l'étiquettes de retour service client par téléphone non efficace , ils sont la juste pour répondre aux appels , donc problème non résolue ce jour.je laisserais un avis favorable au retour de showroomprive",17,1,1,1
À fuir Showroomprive en cas de problème service client déplorable nul et j'en passe j'ai passé une commande le 5 mai 2021 sur une vente Lacoste je reçois un mail m'informant que la livraison va être retardé au plus tard au 11 juin or à ce jour je reçois mon colis avec 2 articles manquants à ma commande ! ! ! Comment numéro 23 01 12229 vente Lacoste ! ! ! J'ai passé cette commande dans l'espoir de l'offrir pour la fête des pères qui arrive ce dimanche et à ce jour je me retrouve avec une commande incomplète aucune information sur le reste de ma commande showroom me répond d'attendre mdr ils sont malins cela et culotté ! ! ! Ce n'est pas la première fois que je rencontre des problèmes avec les colis franchement je déconseille vivement maintenant d'acheter sur Showroomprive commande qui n'arrive pas commande incomplète et je ne vous explique pas le casse-tête pour être remboursé ! ! ! En tout cas je ne serai plus cliente chez eux attention à vous futur acheteur je vous aurai prévenu des incompétence de Showroomprive ! ! ! Nous sommes aujourd'hui le 17 juin et je n'aurais certainement pas le reste de ma commande pour dimanche des images même pas les clients et ne sais même pas répondre où est le reste de ma commande ! ! ! Ils font des ventes et ne savent pas assumer et ne savent même pas répondre à leurs clients ! ! ! Alors merci de me rembourser au plus vite ou de m'envoyer ma commande dès aujourd'hui cher service client Showroomprive à vous de faire vos preuves car vu les commentaires négatifs je pense que vous allez perdre pas mal de clients😉,1,2021-06-17 00:00:00+00:00,Lounamila Lounamila,"Bonjour Lounamila , Je fais suite à votre message dans lequel vous signalez avoir reçu votre commande incomplète.Je vous présente mes excuses pour cette situation.Je vous informe avoir pris en charge votre réclamation et vous confirme que vous serez recontactée dans quelques minutes afin de m'entretenir avec vous de vive voix sur ce sujet.Si besoin , je reste à votre disposition pour tout complément d'information.Bien à vous , Ayoub",TrustPilot,ShowRoom,,,,,à fuir showroomprive en cas de problème service client déplorable nul et j'en passe j'ai passé une commande le 5 mai 2021 sur une vente lacoste je reçois un mail m'informant que la livraison va être retardé au plus tard au 11 juin or à ce jour je reçois mon colis avec 2 articles manquants à ma commande ! ! ! comment numéro 23 01 12229 vente lacoste ! ! ! j'ai passé cette commande dans l'espoir de l'offrir pour la fête des pères qui arrive ce dimanche et à ce jour je me retrouve avec une commande incomplète aucune information sur le reste de ma commande showroom me répond d'attendre mdr ils sont malins cela et culotté ! ! ! ce n'est pas la première fois que je rencontre des problèmes avec les colis franchement je déconseille vivement maintenant d'acheter sur showroomprive commande qui n'arrive pas commande incomplète et je ne vous explique pas le casse-tête pour être remboursé ! ! ! en tout cas je ne serai plus cliente chez eux attention à vous futur acheteur je vous aurai prévenu des incompétence de showroomprive ! ! ! nous sommes aujourd'hui le 17 juin et je n'aurais certainement pas le reste de ma commande pour dimanche des images même pas les clients et ne sais même pas répondre où est le reste de ma commande ! ! ! ils font des ventes et ne savent pas assumer et ne savent même pas répondre à leurs clients ! ! ! alors merci de me rembourser au plus vite ou de m'envoyer ma commande dès aujourd'hui cher service client showroomprive à vous de faire vos preuves car vu les commentaires négatifs je pense que vous allez perdre pas mal de clients😉,18,1,1,1
"J'ai fait la commande d'une sacoche et d'un pull Lacoste , il y a de ça 1 mois et demi , déjà le temps d'attente est énorme , mais en sois ce n'est pas si grave.Par contre sur mon colis à 120 euros , je n'ai reçu qu'un article sur les deux , j'ai envoyé un mail hier et je n'ai toujours pas de réponse .",1,2021-06-16 00:00:00+00:00,LUCAS,"Bonjour Lucas , Dans votre message , vous indiquez avoir reçu un article sur les deux commandés.Je vous mes excuses pour la gêne occasionnée.Après vérification , je constate que votre demande a été prise en charge et traitée par nos services en date du 17/06/21.Afin de vous en donner de plus amples détails , je vous informe que vous serez recontacté dans quelques minutes.Si besoin , je reste à votre disposition pour tout complément d'information.Bien à vous , Ayoub",TrustPilot,ShowRoom,,,,,"j'ai fait la commande d'une sacoche et d'un pull lacoste , il y a de ça 1 mois et demi , déjà le temps d'attente est énorme , mais en sois ce n'est pas si grave.par contre sur mon colis à 120 euros , je n'ai reçu qu'un article sur les deux , j'ai envoyé un mail hier et je n'ai toujours pas de réponse .",19,0,1,1
"Ne répondent pas aux mails de réclamation malgré relance.Suite au message sur Truspilot me laissent un message , toujours sur Truspilot , m'indiquant qu'ils vont me contacter ... j'attends encore ... j'ai à nouveau relancé par mail et par téléphone et je suis supposée avoir reçu un mail le 15 juin dernier . Rien dans ma boîte de réception , rien en spam ... bonnes gens , fuyez !",1,2021-06-19 00:00:00+00:00,GC,"Bonjour , Je suis sincèrement désolé d'apprendre que vous n'ayez toujours pas eu de réponses suite aux mails adressés à nos services.Je vous présente mes excuses pour ce délai d'attente.Soucieux de vous apporter satisfaction , je vous informe un email vous a été adressé aujourd'hui en privé afin de me communiquer les références de votre commande.Dans l'attente de votre retour , je reste à votre disposition pour toute autre demande.Ayoub",TrustPilot,ShowRoom,,,,,"ne répondent pas aux mails de réclamation malgré relance.suite au message sur truspilot me laissent un message , toujours sur truspilot , m'indiquant qu'ils vont me contacter ... j'attends encore ... j'ai à nouveau relancé par mail et par téléphone et je suis supposée avoir reçu un mail le 15 juin dernier . rien dans ma boîte de réception , rien en spam ... bonnes gens , fuyez !",20,0,0,1
"le service client est expéditif et de mauvaise qualité , après avoir telephoné pour connaitre la procédure de renvoi personne ne m ' a pas informé correctement et après une erreur ils ont refusé de me remboursé de mon article.A FUIR , QUE DES PROBLEMES CHEZ EUX .",1,2021-06-16 00:00:00+00:00,kA,"Bonjour , Le problème est résolu ! Notre équipe tient à faire tout son possible pour solutionner vos futures demandes , n ’ hésitez pas à nous solliciter . L ’ équipe Showroomprivé. -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -Bonjour , Je suis sincèrement désolé d'apprendre que vous n'ayez pas eu le remboursement intégral de votre article retourné.Je vous présente mes excuses pour ce désagrément . Je vous informe avoir pris en charge votre réclamation et vous confirme que vous serez recontactée aujourd'hui afin de faire suite à votre requête . Ayoub",TrustPilot,ShowRoom,,,,,"le service client est expéditif et de mauvaise qualité , après avoir telephoné pour connaitre la procédure de renvoi personne ne m ' a pas informé correctement et après une erreur ils ont refusé de me remboursé de mon article.a fuir , que des problemes chez eux .",21,1,0,1
